ticker,strategy,params,final_value,pnl,return_pct,sharpe,max_drawdown,total_trades,win_rate
MARUTI.NS,RSIStrategy,"{'period': 14, 'oversold': 35, 'overbought': 75}",105574.91540857413,5574.915408574132,5.574915408574132,-1.9897854246858147,1.0109633145278094,3,100.0
ULTRACEMCO.NS,StochasticStrategy,"{'period': 21, 'period_dfast': 3, 'oversold': 20, 'overbought': 80}",104659.22576201755,4659.2257620175515,4.6592257620175515,-3.847221389302714,0.8297883461767525,6,100.0
MARUTI.NS,MACDStrategy,"{'fast': 16, 'slow': 26, 'signal': 11}",104622.22045773921,4622.220457739211,4.622220457739211,-2.057133667750837,2.0210840656308684,16,31.25
MARUTI.NS,MACDStrategy,"{'fast': 16, 'slow': 30, 'signal': 9}",104528.44439386156,4528.444393861559,4.528444393861559,-2.0478701401641204,2.100910288595597,16,37.5
MARUTI.NS,RSIStrategy,"{'period': 7, 'oversold': 35, 'overbought': 80}",104458.02366396837,4458.023663968372,4.458023663968372,-3.7511470151906745,1.3857578626205904,6,66.66666666666666
ULTRACEMCO.NS,StochasticStrategy,"{'period': 21, 'period_dfast': 5, 'oversold': 20, 'overbought': 70}",104439.57687576729,4439.576875767292,4.439576875767292,-4.140975351405111,0.8895230228657264,6,100.0
ULTRACEMCO.NS,StochasticStrategy,"{'period': 21, 'period_dfast': 3, 'oversold': 30, 'overbought': 80}",104394.33559814974,4394.335598149744,4.394335598149744,-3.905800411771702,0.8956283597672717,7,100.0
MARUTI.NS,MACDStrategy,"{'fast': 16, 'slow': 30, 'signal': 11}",104320.61248688791,4320.612486887912,4.320612486887913,-2.292352221316605,1.6465450860016009,16,31.25
MARUTI.NS,StochasticStrategy,"{'period': 21, 'period_dfast': 5, 'oversold': 30, 'overbought': 80}",104316.72199340664,4316.721993406638,4.316721993406638,-2.6806110033692847,1.399049048134326,6,83.33333333333334
MARUTI.NS,RSIStrategy,"{'period': 14, 'oversold': 35, 'overbought': 80}",104245.77252364003,4245.772523640029,4.245772523640029,-3.438615963401451,2.636114810776307,1,100.0
MARUTI.NS,RSIStrategy,"{'period': 14, 'oversold': 30, 'overbought': 80}",104196.72115075066,4196.721150750658,4.196721150750658,-3.413353598096342,2.637364232875888,1,100.0
MARUTI.NS,RSIStrategy,"{'period': 28, 'oversold': 35, 'overbought': 75}",104007.80108283306,4007.801082833059,4.007801082833059,-2.3492305689948894,1.7535208708415662,1,100.0
MARUTI.NS,RSIStrategy,"{'period': 21, 'oversold': 30, 'overbought': 80}",104007.80108283306,4007.801082833059,4.007801082833059,-2.3492305689948894,1.7535208708415662,1,100.0
DIVISLAB.NS,MeanReversionStrategy,"{'bb_period': 10, 'bb_devfactor': 2}",104002.47452830493,4002.474528304927,4.002474528304927,-5.646001931475618,0.5562732876846902,11,81.81818181818183
ULTRACEMCO.NS,RSIStrategy,"{'period': 7, 'oversold': 30, 'overbought': 65}",103904.84113626587,3904.841136265866,3.9048411362658664,-4.542665421554957,0.8577066726474128,10,100.0
MARUTI.NS,RSIStrategy,"{'period': 7, 'oversold': 30, 'overbought': 80}",103888.02291864059,3888.0229186405923,3.888022918640592,-3.5785505485670637,1.4207887092569396,5,80.0
MARUTI.NS,DualMAStrategy,"{'fast': 10, 'slow': 50}",103795.25984443047,3795.259844430475,3.795259844430475,-3.0849323598021305,1.9537026069114867,5,20.0
ULTRACEMCO.NS,StochasticStrategy,"{'period': 21, 'period_dfast': 5, 'oversold': 30, 'overbought': 70}",103712.92174942682,3712.921749426823,3.712921749426823,-4.338939391684997,0.8963347341355454,7,100.0
MARUTI.NS,MACDStrategy,"{'fast': 16, 'slow': 26, 'signal': 9}",103685.0032417927,3685.0032417926996,3.6850032417926997,-2.080849103780225,2.513634370402549,18,27.77777777777778
ULTRACEMCO.NS,RSIStrategy,"{'period': 7, 'oversold': 30, 'overbought': 70}",103655.15345944044,3655.1534594404366,3.6551534594404362,-5.343253012183601,0.860228245443914,9,100.0
MARUTI.NS,DualMAStrategy,"{'fast': 20, 'slow': 50}",103632.21813268343,3632.218132683425,3.632218132683425,-3.1749302946773335,2.2063538882298164,5,40.0
ULTRACEMCO.NS,MeanReversionStrategy,"{'bb_period': 50, 'bb_devfactor': 2}",103591.98588838715,3591.9858883871493,3.5919858883871494,-5.658396434374684,1.4583871360725993,3,100.0
MARUTI.NS,MACDStrategy,"{'fast': 12, 'slow': 30, 'signal': 11}",103544.25184389002,3544.251843890015,3.5442518438900152,-2.1873248551916693,2.3384330575645484,18,27.77777777777778
ULTRACEMCO.NS,MeanReversionStrategy,"{'bb_period': 10, 'bb_devfactor': 1.5}",103543.62193593617,3543.621935936171,3.543621935936171,-8.844755262059346,1.031819103239103,17,70.58823529411765
ULTRACEMCO.NS,RSIStrategy,"{'period': 7, 'oversold': 35, 'overbought': 65}",103535.71357430362,3535.7135743036197,3.53571357430362,-4.447351169485725,1.0603919327768583,12,83.33333333333334
MARUTI.NS,RSIStrategy,"{'period': 21, 'oversold': 35, 'overbought': 80}",103487.11135931502,3487.111359315022,3.487111359315022,-2.2632708329755733,1.762506934249817,1,100.0
ULTRACEMCO.NS,MeanReversionStrategy,"{'bb_period': 50, 'bb_devfactor': 1.5}",103477.08699553246,3477.0869955324597,3.47708699553246,-5.525408185898495,1.467805953901846,4,100.0
MARUTI.NS,MomentumStrategy,"{'fast_period': 15, 'slow_period': 30}",103456.9841723441,3456.984172344106,3.456984172344106,-2.5957187357411917,2.6794073253116153,9,22.22222222222222
